SYMBOL,SHARES
MMM,579100000
AOS,135430000
ABT,1772362000
ABBV,1765474000
ACN,661135000
ATVI,772857000
AYI,36027000
ADBE,478700000
AAP,67855000
AMD,1211280000
AES,665131000
AET,1
AMG,45361000
AFL,692454000
A,305389000
APD,221277000
AKAM,163000000
ALK,124218000
ALB,116632000
ARE,136693000
ALXN,219712000
ALGN,78850000
ALLE,92039000
AGN,1
ADS,47722000
LNT,249761000
ALL,304000000
GOOGL,300737000
GOOG,327556000
MO,1858419000
AMZN,503565000
AEE,247207000
AAL,621480000
AEP,496390000
AXP,805000000
AIG,861526000
AMT,444213000
AWK,181272000
AMP,117978000
ABC,204706000
AME,230065000
AMGN,577566000
APH,299577000
APC,29624000
ADI,369404000
ANDV,1
ANSS,85884000
ANTM,248704000
AON,228616000
APA,377478000
AIV,148866000
AAPL,16788100000
AMAT,917661000
APTV,270025000
ADM,556389000
ARNC,109145000
AJG,193740000
AIZ,59318000
T,7126000000
ADSK,219889000
ADP,427940000
AZO,22759000
AVB,139609000
AVY,83418000
BHGE,1
BLL,327112000
BAC,8650814000
BAX,505104000
BBT,134186852
BDX,290560000
BRK.B,1370952000
BBY,258945000
BIIB,152336000
BLK,152511000
HRB,183418000
BA,582997000
BWA,244519000
BXP,155719000
BSX,1431921000
BHF,88212000
BMY,2240475000
AVGO,406713000
BF.B,309489000
CHRW,135946000
CA,817623840
COG,398580000
CDNS,278931000
CPB,302945000
COF,459000000
CAH,293668000
KMX,162541000
CCL,932486000
CAT,543258000
CBOE,111626296
CBG,48370000
CBS,1
CELG,1
CNC,581479000
CNP,544821000
CTL,1
CERN,306590000
CF,213916000
SCHW,1797212000
CHTR,193731000
CHK,97907000
CVX,1925052000
CMG,28144000
CB,451371000
CHD,248450000
CI,361267000
XEC,101963000
CINF,160897000
CTAS,105030000
CSCO,4221000000
C,2082100000
CFG,427073000
CTXS,122964000
CME,358987000
CMS,288943000
KO,4302000000
CTSH,530000000
CL,857169000
CMCSA,4571212000
CMA,139167000
CAG,488579000
CXO,1002430321
COP,1354625000
ED,342116000
STZ,170029000
GLW,764010000
COST,442955000
COTY,766796000
CCI,431298000
CSRA,2050000000
CSX,762505000
CMI,148007000
CVS,1308913000
DHI,363702000
DHR,711000000
DRI,130328000
DVA,109933000
DE,313361000
DAL,637734000
XRAY,218555000
DVN,672292000
DLR,280165000
DFS,307000000
DISCA,160467000
DISCK,340171000
DISH,287531000
DG,245001000
DLTR,235192000
D,815819000
DOV,144103000
DWDP,1
DPS,1
DTE,193560000
DUK,735959000
DRE,371951000
DXC,254594000
ETFC,1
EMN,135900000
ETN,398600000
EBAY,680446000
ECL,285445000
EIX,378514000
